id,brand,description,price,size,volume,classification,purchaseprice,vendornumber,vendorname
98365,58,Gekkeikan Black & Gold Sake,12.99,750mL,750.0,1,9.28,8320,SHAW ROSS INT L IMP LTD    
98366,62,Herradura Silver Tequila,36.99,750mL,750.0,1,28.67,1128,BROWN-FORMAN CORP          
98367,63,Herradura Reposado Tequila,38.99,750mL,750.0,1,30.46,1128,BROWN-FORMAN CORP          
98368,72,No. 3 London Dry Gin,34.99,750mL,750.0,1,26.11,9165,ULTRA BEVERAGE COMPANY LLP 
98369,75,Three Olives Tomato Vodka,14.99,750mL,750.0,1,10.94,7245,PROXIMO SPIRITS INC.       
98370,77,Three Olives Espresso Vodka,12.99,750mL,750.0,1,10.39,7245,PROXIMO SPIRITS INC.       
98371,79,Three Olives Loopy Vodka,14.99,750mL,750.0,1,9.62,7245,PROXIMO SPIRITS INC.       
98372,115,Belvedere Vodka,27.99,1000mL,1000.0,1,21.37,8112,MOET HENNESSY USA INC      
98373,126,Grey Goose Vodka,32.99,1000mL,1000.0,1,20.14,480,BACARDI USA INC            
98374,168,Three Olives Strawberry,12.99,750mL,750.0,1,8.95,7245,PROXIMO SPIRITS INC.       
98375,171,Gentleman Jack,49.99,1750mL,1750.0,1,36.76,1128,BROWN-FORMAN CORP          
98376,173,Hornitos Reposado VAP,22.99,750mL,750.0,1,14.7,12546,JIM BEAM BRANDS COMPANY    
98377,175,1800 Anejo Tequila,36.99,750mL,750.0,1,26.8,7245,PROXIMO SPIRITS INC.       
98378,178,Wild Turkey Russell's RSV,29.99,750mL,750.0,1,20.76,11567,CAMPARI AMERICA            
98379,192,Milagro Anejo Tequila,35.99,750mL,750.0,1,27.68,3664,WILLIAM GRANT & SONS INC   
98380,211,Cold River Gin,24.99,750mL,750.0,1,19.83,4425,MARTIGNETTI COMPANIES
98381,229,Sauza Gold VAP,12.99,750mL,750.0,1,10.39,12546,JIM BEAM BRANDS COMPANY    
98382,233,Tullamore Dew 12 Yr Old,46.99,750mL,750.0,1,30.21,3664,WILLIAM GRANT & SONS INC   
98383,247,Gran Patron Platinum Tequil,199.99,750mL,750.0,1,156.24,9165,ULTRA BEVERAGE COMPANY LLP 
98384,254,DeKuyper Root Beer Schnapps,10.99,1000mL,1000.0,1,8.79,12546,JIM BEAM BRANDS COMPANY    
98385,261,Svedka Citron Vodka,12.99,1000mL,1000.0,1,9.99,1392,CONSTELLATION BRANDS INC   
98386,273,Sauza Extra Gold Tequila,21.99,1750mL,1750.0,1,17.31,12546,JIM BEAM BRANDS COMPANY    
98387,283,Milagro Tequila Reposado SBR,61.99,750mL,750.0,1,39.69,3664,WILLIAM GRANT & SONS INC   
98388,284,Milagro Tequila Anejo SBR,77.99,750mL,750.0,1,53.43,3664,WILLIAM GRANT & SONS INC   
98389,294,Old Mexico Gold Tequila,8.49,1000mL,1000.0,1,6.79,9552,M S WALKER INC             
98390,305,Crown Royal Canadian Whisky,27.99,1000mL,1000.0,1,22.21,3960,DIAGEO NORTH AMERICA INC   
98391,323,Tequila Rose Strawberry Gift,13.99,750mL,750.0,1,10.6,5992,MCCORMICK DISTILLING CO    
98392,344,Punt e Mes Sweet Vermouth,19.99,750mL,750.0,1,15.74,9165,ULTRA BEVERAGE COMPANY LLP 
98393,361,Effen Cucumber Vodka,19.99,750mL,750.0,1,14.28,12546,JIM BEAM BRANDS COMPANY    
98394,376,Aperol Liqueur,26.99,750mL,750.0,1,18.97,11567,CAMPARI AMERICA            
98395,384,Ardbeg Corryvreckan Scotch,74.99,750mL,750.0,1,54.68,8112,MOET HENNESSY USA INC      
98396,388,Smirnoff 80 Proof,14.49,1000mL,1000.0,1,11.41,3960,DIAGEO NORTH AMERICA INC   
98397,408,Wild Turkey American Honey,16.99,750mL,750.0,1,12.97,11567,CAMPARI AMERICA            
98398,415,Jose Cuervo Especial,20.99,1000mL,1000.0,1,13.04,7245,PROXIMO SPIRITS INC.       
98399,419,Absolut Citron,21.99,1000mL,1000.0,1,15.99,17035,PERNOD RICARD USA          
98400,425,Hennessy Paradis,799.99,750mL,750.0,1,620.15,8112,MOET HENNESSY USA INC      
98401,426,Crystal Head Vodka,7.99,50mL,50.0,1,6.29,9165,ULTRA BEVERAGE COMPANY LLP 
98402,435,Il Tramonto Limoncello,17.99,750mL,750.0,1,12.79,7153,PINE STATE TRADING CO      
98403,438,Licor 43 Vanilla Liqueur,19.99,750mL,750.0,1,12.77,4425,MARTIGNETTI COMPANIES
98404,443,St Germain Liqueur,33.99,750mL,750.0,1,24.45,480,BACARDI USA INC            
98405,450,Vincent Van Gogh Double Esp,24.99,750mL,750.0,1,19.52,4425,MARTIGNETTI COMPANIES
98406,463,Kirk & Sweeney 12Yr Old Rum,33.99,750mL,750.0,1,24.63,653,STATE WINE & SPIRITS   
98407,482,Absolut 80 Proof,21.99,1000mL,1000.0,1,14.28,17035,PERNOD RICARD USA          
